Name of region,Status of region,state_code,AP,LegiScan State,LegiScan Chambers,chamber_code,chamber,LegiScan Types,type_code,type,optional_flag,single_bill_type_flag,bill_prefix,bill_prefix_description
Alabama,State,AL,Ala.,Alabama,H-House,H,House,B-Bill,B,Bill,False,False,HB,House Bill
Alabama,State,AL,Ala.,Alabama,H-House,H,House,R-Resolution,R,Resolution,False,False,HR,House Resolution
Alabama,State,AL,Ala.,Alabama,H-House,H,House,JR-Joint Resolution,JR,Joint Resolution,False,False,HJR,House Joint Resolution
Alabama,State,AL,Ala.,Alabama,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
Alabama,State,AL,Ala.,Alabama,S-Senate,S,Senate,R-Resolution,R,Resolution,False,False,SR,Senate Resolution
Alabama,State,AL,Ala.,Alabama,S-Senate,S,Senate,JR-Joint Resolution,JR,Joint Resolution,False,False,SJR,Senate Joint Resolution
Alaska,State,AK,Alaska,Alaska,H-House,H,House,B-Bill,B,Bill,False,False,HB,House Bill
Alaska,State,AK,Alaska,Alaska,H-House,H,House,R-Resolution,R,Resolution,False,False,HR,House Resolution
Alaska,State,AK,Alaska,Alaska,H-House,H,House,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,HCR,House Concurrent Resolution
Alaska,State,AK,Alaska,Alaska,H-House,H,House,JR-Joint Resolution,JR,Joint Resolution,False,False,HJR,House Joint Resolution
Alaska,State,AK,Alaska,Alaska,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
Alaska,State,AK,Alaska,Alaska,S-Senate,S,Senate,R-Resolution,R,Resolution,False,False,SR,Senate Resolution
Alaska,State,AK,Alaska,Alaska,S-Senate,S,Senate,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,SCR,Senate Concurrent Resolution
Alaska,State,AK,Alaska,Alaska,S-Senate,S,Senate,JR-Joint Resolution,JR,Joint Resolution,False,False,SJR,Senate Joint Resolution
Arizona,State,AZ,Ariz.,Arizona,H-House,H,House,B-Bill,B,Bill,False,False,HB,House Bill
Arizona,State,AZ,Ariz.,Arizona,H-House,H,House,R-Resolution,R,Resolution,False,False,HR,House Resolution
Arizona,State,AZ,Ariz.,Arizona,H-House,H,House,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,HCR,House Concurrent Resolution
Arizona,State,AZ,Ariz.,Arizona,H-House,H,House,M-Memorial,M,Memorial,False,False,HM,House Memorial
Arizona,State,AZ,Ariz.,Arizona,H-House,H,House,CM-Concurrent Memorial,CM,Concurrent Memorial,False,False,HCM,House Concurrent Memorial
Arizona,State,AZ,Ariz.,Arizona,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
Arizona,State,AZ,Ariz.,Arizona,S-Senate,S,Senate,R-Resolution,R,Resolution,False,False,SR,Senate Resolution
Arizona,State,AZ,Ariz.,Arizona,S-Senate,S,Senate,CR-Concurrent Resolution,CR,Concurrent Resolution,False,False,SCR,Senate Concurrent Resolution
Arizona,State,AZ,Ariz.,Arizona,S-Senate,S,Senate,M-Memorial,M,Memorial,False,False,SM,Senate Memorial
Arizona,State,AZ,Ariz.,Arizona,S-Senate,S,Senate,CM-Concurrent Memorial,CM,Concurrent Memorial,False,False,SCM,Senate Concurrent Memorial
Arkansas,State,AR,Ark.,Arkansas,H-House,H,House,B-Bill,B,Bill,False,False,HB,House Bill
Arkansas,State,AR,Ark.,Arkansas,H-House,H,House,R-Resolution,R,Resolution,False,False,HR,House Resolution
Arkansas,State,AR,Ark.,Arkansas,H-House,H,House,JR-Joint Resolution,JR,Joint Resolution,False,False,HJR,House Joint Resolution
Arkansas,State,AR,Ark.,Arkansas,H-House,H,House,MR-Memorial,MR,Memorial,False,False,HMR,House Memorial
Arkansas,State,AR,Ark.,Arkansas,H-House,H,House,CMR-Joint Memorial,CMR,Joint Memorial,False,False,HCMR,House Joint Memorial
Arkansas,State,AR,Ark.,Arkansas,S-Senate,S,Senate,B-Bill,B,Bill,False,False,SB,Senate Bill
